Test item,D1,D2,D3,D4
F1 + S1,0.971,0.014,0.008,0.008
F1 + O1,0.063,0.901,0.018,0.018
F2 + O2,0.008,0.008,0.972,0.013
F2 + S2,0.018,0.018,0.059,0.905
F1,0.667,0.283,0.025,0.025
F2,0.027,0.027,0.64,0.307
S1,0.955,0.015,0.015,0.015
O1,0.04,0.88,0.04,0.04
O2,0.012,0.012,0.965,0.012
S2,0.032,0.032,0.032,0.904
S1 + O1,0.419,0.496,0.042,0.042
O2 + S2,0.038,0.038,0.46,0.464
F1 + O2,0.156,0.174,0.658,0.013
F1 + S2,0.178,0.237,0.023,0.563
F2 + S1,0.657,0.013,0.155,0.175
F2 + O1,0.024,0.567,0.17,0.239
O1 + O2,0.04,0.444,0.477,0.04
S1 + S2,0.4,0.04,0.04,0.52
