rn,C1,R1,C2,R2
I1,0.829624325902377,0.127790164565816,0.0212927547659034,0.0212927547659034
PC1,0.976438233551804,0.00426190188521386,0.00964993228149116,0.00964993228149116
PR1,0.0254163266341037,0.859507406060303,0.0575381336527965,0.0575381336527965
PC1 + PR1,0.597176538281791,0.230213795917369,0.08630483290042,0.08630483290042
I1 + PC1 + PR1,0.689463205741428,0.197238244354229,0.0566492749521714,0.0566492749521714
I1 + PC2,0.254612984793516,0.105917417546096,0.610568717486644,0.0289008801737451
I1 + PR2,0.421510071601487,0.176583338300165,0.0482876636776697,0.353618926420678
PC1 + PR2,0.662900223834177,0.0414133378460621,0.0411256510290126,0.254560787290748
I1 + PC1 + PR2,0.776373867498713,0.0604430373819995,0.0348460388477891,0.128337056271498
I2,0.0212861078708672,0.0212861078708672,0.829684258107705,0.127743526150561
PC2,0.00965867867967555,0.00965867867967555,0.976414193266347,0.0042684493743016
PR2,0.0575299803255759,0.0575299803255759,0.0253479513704524,0.859592087978396
PC2 + PR2,0.0864603134973081,0.0864603134973081,0.5960709734237,0.231008399581684
I2 + PC2 + PR2,0.0567371978363337,0.0567371978363337,0.688758963933191,0.197766640394142
I2 + PC1,0.611026433520965,0.0288668340616953,0.254300872236656,0.105805860180684
I2 + PR1,0.0483507501154534,0.353356870427802,0.421709988726888,0.176582390729856
PC2 + PR1,0.0411881744393121,0.254566632495474,0.662811948621297,0.0414332444439165
I2 + PC2 + PR1,0.0348781016685406,0.12829330056478,0.776363386714403,0.0604652110522767
